,Julian.Julian1,Julian.Julian2,Julian.Julian3,Maxhum.max.hum1,Maxhum.max.hum2,Maxhum.max.hum3,Maxtemp.max.temp1,Maxtemp.max.temp2,Maxtemp.max.temp3,Meanhum.mean.hum1,Meanhum.mean.hum2,Meanhum.mean.hum3,Meantemp.mean.temp1,Meantemp.mean.temp2,Meantemp.mean.temp3,Minhum.min.hum1,Minhum.min.hum2,Minhum.min.hum3,Mintemp.min.temp1,Mintemp.min.temp2,Mintemp.min.temp3,sdhum.sd.hum1,sdhum.sd.hum2,sdhum.sd.hum3,sdtemp.sd.temp1,sdtemp.sd.temp2,sdtemp.sd.temp3
1,159.0375,160.0375,161.0375,87,100,100,27,21,14,73.5,93.41666667,100,14.36363636,13.54545455,10.27272727,45,56,100,10,11,6,11.50888984,14.72449001,0,5.463931319,3.327570777,2.901410315
2,160.0298611,161.0298611,162.0298611,100,100,100,17,14,20,100,100,99.54545455,11.45454545,8.272727273,8.636363636,100,100,95,8,2,4,0,0,1.507556723,2.841254524,4.002272082,5.31550049
3,159.0208449,160.0208449,161.0208449,74,91,100,30,19,14,60.36363636,77.45454545,98.90909091,16.54545455,13.90909091,10.72727273,30,46,94,12,11,8,13.69870598,14.48698475,2.071450963,5.447267872,2.736952519,2.004540301
4,161.0340394,162.0340394,163.0340394,100,59,53,12,28,30,100,42.72727273,43.09090909,9.909090909,14.81818182,17.81818182,100,18,18,8,9,13,0,12.30520954,11.53650333,1.578261414,6.096198517,5.810648532
5,163.0583449,164.0583449,164.9750116,100,100,100,26,26,23,97.41666667,96.75,94.33333333,6.818181818,6,7,72,67,53,0,0,0,8.050503466,9.526279442,14.00216433,8.035150052,7.810249676,8.640987598
6,166.0389005,167.0389005,168.0389005,63,66,62,18,19,21,40.36363636,43.18181818,46.45454545,12.54545455,13.09090909,13.72727273,21,27,30,9,9,9,14.6579175,12.22144166,10.26999159,2.80583807,3.176619129,3.466724941
7,166.0618171,167.0618171,168.0618171,25,24,26,22,22,24,22.90909091,22.63636364,24,14.72727273,15.54545455,15.81818182,22,22,23,10,11,11,1.044465936,0.924416278,1.095445115,3.580248849,3.559877424,3.99545196
8,166.0291782,167.0291782,168.0291782,94,90,85,23,23,23,80.63636364,83.54545455,71.54545455,17.81818182,17.63636364,17.90909091,58,74,56,14,14,14,11.46536286,5.373334837,8.77910743,2.926369143,2.83805311,2.913916452
9,168.0326505,169.0326505,170.0326505,53,46,50,21,19,19,50.09090909,41.18181818,46.90909091,18.09090909,16.18181818,16.81818182,45,33,39,16,14,15,2.34326889,3.516196292,3.389824345,1.513574937,1.60113596,1.167748416
10,167.038206,168.038206,169.038206,35,43,42,33,32,28,29.54545455,38.72727273,31.72727273,20.27272727,20,17.18181818,16,22,20,18,17,15,5.007267446,5.711232951,6.634619945,4.31487912,4.195235393,3.816233269
11,167.0291782,168.0291782,169.0291782,46,53,52,20,21,20,41.09090909,50.45454545,44.27272727,16.45454545,16.81818182,15.09090909,37,42,34,15,15,13,3.3601948,3.23615934,5.255300355,1.439696938,1.887759615,2.165850662
12,173.0298727,174.0298727,175.0298727,43,62,65,17,20,22,35.27272727,57.54545455,58.18181818,9.909090909,12.81818182,15.36363636,26,41,48,8,10,13,4.713616639,5.939084717,5.036232358,2.625054112,2.857207791,2.540579748
13,173.0389005,174.0389005,175.0389005,60,83,85,20,24,26,40.63636364,63.72727273,67.45454545,9.727272727,13.45454545,16.18181818,19,33,38,4,8,11,13.59612244,17.69231985,16.9844849,5.081159495,5.183891132,4.833594559
14,173.0430671,174.0430671,175.0430671,52,69,72,13,17,18,40.72727273,64,67.36363636,9.545454545,12.18181818,14.27272727,26,49,58,8,10,12,9.716901863,5.983310121,4.610265226,1.507556723,1.990888335,1.902151891
15,174.0465394,175.0465394,176.0465394,51,50,50,21,23,25,45.27272727,46,40.63636364,15.63636364,17.90909091,19.54545455,30,37,34,13,15,17,6.230423888,3.660601044,5.48220261,2.377928816,2.586679163,2.252271581
16,174.0264005,175.0264005,176.0264005,56,52,70,33,31,32,46.45454545,45.81818182,48.54545455,15.18181818,17,18.45454545,16,21,22,11,13,14,11.60485792,8.919845086,14.21522871,6.38464066,5.215361924,5.164564577
