,Distance.to.water,Distance.to.road,Existing.vegetation,Fire.Interval,Altitude,Burn.intensity.soil,Burn.intensity.Canopy,Burn.intensity.basal,Fire_edge,Canopy.cover,Woody,Herbacious,Grass,Naked.Soil,Rocky,Down.Wood,Leaf.Litter,Basal.Area
1,0,325.2647061,3,14.79163858,1859.337371,0,0,0,7228.736328,30.576,6,13,0,5,27.5,21,27.5,3.734332007
2,0,0,15.29458784,11,1839.812891,0.248020291,0.128127014,0.128127014,324.7388916,43.888,35,1,55.5,2.5,0,0,6,6.061893473
3,0,0,4.769200112,16,1890.585591,0,0,0,7169.77832,69.472,37,3.5,0,0.5,0,15.5,43.5,27.17530865
4,0,0,4.705464178,18.27010407,1927.236542,0,0,0,908.8994141,25.376,90.5,1,0,5.5,0,2.5,0.5,0.74874443
5,0,0,14.2247466,NA,1682.559314,3.420756352,3.841512522,5.307996859,1548.561768,12.896,24.5,1.5,39.5,10.5,0.5,8,15,1.046346703
6,0,2308.601029,15.72745996,15.81840889,1515.009447,0.011352272,0.011352228,0.011352228,424.2104797,59.072,19.5,0,0,2,54,9.5,15,0.366191894
7,0,649.2961568,3,11,1333.377985,3.7556787,4.511357623,5.898745219,973.9442139,40.768,9.5,19,1,12.5,11.5,18.5,28,22.89866044
8,0,324.9021902,6.464347545,12.15478251,1325.538635,0,0,0,7510.010742,58.032,14,8.5,21,3,0,10,43.5,19.75307797
9,0,0,3,11,1285.964506,0,0,0,2218.967773,81.952,11.5,0,0,0.5,0,60,28,89.4326684
10,0,0,14.3622373,14.78741243,1234.94927,2.331849903,2,2.331849929,0,79.456,22,0,0.5,3,0,24,50.5,63.62712369
11,0,424.2104915,6.825033782,11,1209.384491,0,0,0,2335.6875,78.624,28.5,2,0,2,0,19.5,48,7.105512892
12,325.5000354,0,3,16,1866.537153,0,0,0,3831.751709,54.912,36.5,5,0,13,9.5,16,20,10.68430026
13,0,325.5362206,4.092858756,11.62458378,1414.524212,0,0,0,4088.045654,40.768,12.5,2,0.5,20.5,0.5,32.5,31.5,16.32333844
14,0,0,18.87600005,37.92492317,2098.386548,0,0,0,13765.3623,59.696,6,11,0,14,0,40,29,101.2115438
15,324.9021902,0,3.381049171,14.15569562,1952.389971,0,0,0,2837.769775,77.792,7.5,0.5,0,2,0,56,34,47.4064525
16,0,0,3,15.05870707,1923.552515,3.350345463,4.213095825,5.56344133,323.8658752,40.144,10.5,18,8,12.5,14,17,20,22.52404908
17,0,0,3.806532693,11,1386.443592,3.517899586,4.276849146,5.794748577,4939.080078,48.672,22,13.5,5.5,14,9.5,16.5,20.5,41.93194456
18,0,324.3391577,7.108535931,12.36951198,1351.181376,2.262736751,2.462686,2.725422704,0,37.232,4.5,24,0,8.5,0,13.5,49.5,63.23677295
19,0,775.6661313,11.16207748,13.72069249,1377.434683,0,0,0,1062.44397,78,12,0.5,1,5.5,16.5,32,32.5,41.4794217
20,0,0,3,11,1532.292382,0,0,0,1313.766602,72.592,33,3.5,0,2,3.5,28.5,29.5,67.08508258
21,325.8255016,0,6.72696414,16.54607172,1713.313025,0,0,0,1272.63147,58.448,38,4.5,0,3,1,26.5,27,50.54579106
22,0,0,7.86808344,15.85376984,1650.041857,0.804172777,0.402086402,0.402086402,0,79.456,10.5,13,8,0.5,14.5,23.5,27.5,2.551758633
23,0,0,14.8189161,15.29422836,648.516962,2.207948181,2.316977483,2.623844865,0,61.776,21.5,19,1,5.5,0,21,32,37.91408317
24,0,0,12.14241956,13.14299389,1710.010153,4,5,7,2590.63501,1.664,10,14.5,27.5,5,27.5,12,3.5,11.83213329
25,325.7170583,325.7170583,4.204395422,11,1196.114177,1.648878822,1,1,0,75.296,17.5,0.5,0,2.5,0,38,41.5,60.15827133
26,0,424.2104915,15.06163157,22.26042112,1876.822652,1.746010766,2.071684972,3.115831133,0,1.664,14,0.5,5,12,64.5,3.5,0.5,0
27,0,325.8074534,6.686686209,11,1564.34788,0,0,0,424.2104797,68.848,20.5,2.5,0.5,8.5,5,31.5,31.5,32.78989423
28,0,651.7232461,6.33129778,17.47936085,1826.542427,2.918158672,2.788592803,3.706751407,0,24.96,57.5,1,0,13,3.5,21.5,3.5,73.48169509
29,0,0,6.696798078,12.23226603,1417.41119,2.336046594,2.524946305,3.492812396,4842.947266,47.424,4,3,1,15.5,38,8.5,25,31.85300061
30,0,324.8114598,3,16,2019.465689,0.404315079,0.673858105,0.808629725,0,23.712,58.5,2,0.5,0.5,14,6,18.5,7.998526312
31,324.8659205,324.8659205,14.38041738,23.82150569,1887.27742,1.949931279,1.949931478,2.599908637,0,6.032,9.5,9.5,34.5,28.5,3.5,11,3,3.975693357
32,0,0,7.967432812,28.94439069,1867.589622,4,5,7,775.0881348,6.864,14,7.5,28.5,25,0.5,13.5,11,0
33,0,975.8484747,12,11,1029.748725,4,5,6.434655309,325.2828064,2.08,21,1.5,9,25,37.5,6,0,2.632976657
34,0,0,7,16,1632.553263,0,0,0,325.6447449,79.872,35.5,0,0,6,0,30.5,28,17.50650935
35,0,0,18,16,1248.598749,0,0,0,4857.677734,81.536,18,0,0,6.5,6,7.5,62,22.88852095
36,0,0,18,16,1314.893559,0,0,0,6853.475098,89.648,10,0.5,0,7.5,0,28.5,53.5,49.39628231
37,0,1299.463615,12,14.17532622,989.3276788,3.204700829,4.012404027,6.117467749,2327.727783,9.984,46.5,1.5,14.5,8,16,10.5,2.5,12.80638829
38,0,0,11.793112,14.75004815,704.1847471,0.529189118,0.658936503,0.851052157,0,48.256,9,1,7,15.5,64,1.5,2,0.291453404
