"","with.fire1","without.fire1","with.fire.sd1"
"Yuma.Myotis",0.746171427984742,0.175632046763363,0.384872907074916
"Small.Footed.Myotis",0.400183568868725,0.108559554810802,0.353268913471167
"Little.Brown.Bat",0.515023425683576,0.263438696772064,0.232256494244006
"Western.Red.Bat",0.295388186829209,0.998326061692795,0.43332349058971
"Long.eared.Bat",0.836370685541244,0.679791194496714,0.305240165872175
"Pallid.Bat",0.343358698750365,0.192189751638305,0.453827443736404
"Townsend.s.big.eared.Bat",0.179153031110575,0.204165966503919,0.0537531422159606
"Big.Brow.Bat",0.428523188372497,0.349281225224704,0.301540252364057
"Silver.Haired.Bat",0.586895242912691,0.398159649975939,0.226749698215248
"Brazilian.free.tailed.bat",0.704574008113029,0.680329284035015,0.389859407630877
"western.mastiff.bat",0.211925680206834,0.00373526346731421,0.394299393850916
