Date/Time,Unit,Value,a
13-07-15 16:26:01,%RH,43,12
13-07-15 17:26:01,%RH,45,114
13-07-15 18:26:01,%RH,47,095
13-07-15 19:26:01,%RH,47,752
13-07-15 20:26:01,%RH,47,752
13-07-15 21:26:01,%RH,49,716
13-07-15 22:26:01,%RH,49,063
13-07-15 23:26:01,%RH,49,063
14-07-15 0:26:01,%RH,51,017
14-07-15 1:26:01,%RH,50,367
14-07-15 2:26:01,%RH,51,017
14-07-15 3:26:01,%RH,50,367
14-07-15 4:26:01,%RH,50,367
14-07-15 5:26:01,%RH,51,665
14-07-15 6:26:01,%RH,60,589
14-07-15 7:26:01,%RH,43,786
14-07-15 8:26:01,%RH,44,451
14-07-15 9:26:01,%RH,25,987
14-07-15 10:26:01,%RH,25,987
14-07-15 11:26:01,%RH,24,576
14-07-15 12:26:01,%RH,25,282
14-07-15 13:26:01,%RH,23,16
14-07-15 14:26:01,%RH,18,875
14-07-15 15:26:01,%RH,16,713
14-07-15 16:26:01,%RH,18,875
14-07-15 17:26:01,%RH,34,326
14-07-15 18:26:01,%RH,39,767
14-07-15 19:26:01,%RH,49,716
14-07-15 20:26:01,%RH,54,886
14-07-15 21:26:01,%RH,61,84
14-07-15 22:26:01,%RH,66,173
14-07-15 23:26:01,%RH,64,942
15-07-15 0:26:01,%RH,65,558
15-07-15 1:26:01,%RH,68,008
15-07-15 2:26:01,%RH,71,637
15-07-15 3:26:01,%RH,69,223
15-07-15 4:26:01,%RH,78,737
15-07-15 5:26:01,%RH,71,036
15-07-15 6:26:01,%RH,30,877
15-07-15 7:26:01,%RH,22,45
15-07-15 8:26:01,%RH,21,738
15-07-15 9:26:01,%RH,22,45
15-07-15 10:26:01,%RH,24,576
15-07-15 11:26:01,%RH,24,576
15-07-15 12:26:01,%RH,25,282
15-07-15 13:26:01,%RH,24,576
15-07-15 14:26:01,%RH,19,593
15-07-15 15:26:01,%RH,19,593
15-07-15 16:26:01,%RH,19,593
15-07-15 17:26:01,%RH,30,877
15-07-15 18:26:01,%RH,30,877
15-07-15 19:26:01,%RH,41,784
15-07-15 20:26:01,%RH,45,776
15-07-15 21:26:01,%RH,45,114
15-07-15 22:26:01,%RH,49,716
15-07-15 23:26:01,%RH,51,665
16-07-15 0:26:01,%RH,54,244
16-07-15 1:26:01,%RH,59,961
16-07-15 2:26:01,%RH,64,325
16-07-15 3:26:01,%RH,64,942
16-07-15 4:26:01,%RH,68,616
16-07-15 5:26:01,%RH,65,558
16-07-15 6:26:01,%RH,27,392
16-07-15 7:26:01,%RH,21,024
16-07-15 8:26:01,%RH,20,31
16-07-15 9:26:01,%RH,22,45
16-07-15 10:26:01,%RH,23,16
16-07-15 11:26:01,%RH,26,69
16-07-15 12:26:01,%RH,27,392
16-07-15 13:26:01,%RH,28,092
16-07-15 14:26:01,%RH,23,869
16-07-15 15:26:01,%RH,23,869
16-07-15 16:26:01,%RH,25,987
16-07-15 17:26:01,%RH,39,767
16-07-15 18:26:01,%RH,43,12
16-07-15 19:26:01,%RH,50,367
16-07-15 20:26:01,%RH,52,312
16-07-15 21:26:01,%RH,58,701
16-07-15 22:26:01,%RH,63,085
16-07-15 23:26:01,%RH,68,008
17-07-15 0:26:01,%RH,70,433
17-07-15 1:26:01,%RH,70,433
17-07-15 2:26:01,%RH,74,622
17-07-15 3:26:01,%RH,74,622
17-07-15 4:26:01,%RH,81,057
17-07-15 5:26:01,%RH,72,835
17-07-15 6:26:01,%RH,30,183
17-07-15 7:26:01,%RH,21,024
17-07-15 8:26:01,%RH,20,31
17-07-15 9:26:01,%RH,23,16
17-07-15 10:26:01,%RH,17,435
17-07-15 11:26:01,%RH,23,869
17-07-15 12:26:01,%RH,22,45
17-07-15 13:26:01,%RH,27,392
17-07-15 14:26:01,%RH,31,57
17-07-15 15:26:01,%RH,32,261
17-07-15 16:26:01,%RH,30,183
