Date/Time,Unit,Value,a
01-07-15 7:49:01,C,25,162
01-07-15 8:49:01,C,25,162
01-07-15 9:49:01,C,23,662
01-07-15 10:49:01,C,36,143
01-07-15 11:49:01,C,48,579
01-07-15 12:49:01,C,43,113
01-07-15 13:49:01,C,29,159
01-07-15 14:49:01,C,27,661
01-07-15 15:49:01,C,24,662
01-07-15 16:49:01,C,24,162
01-07-15 17:49:01,C,21,661
01-07-15 18:49:01,C,18,657
01-07-15 19:49:01,C,17,154
01-07-15 20:49:01,C,15,149
01-07-15 21:49:01,C,14,146
01-07-15 22:49:01,C,13,142
01-07-15 23:49:01,C,12,139
02-07-15 0:49:01,C,11,135
02-07-15 1:49:01,C,10,633
02-07-15 2:49:01,C,10,131
02-07-15 3:49:01,C,10,131
02-07-15 4:49:01,C,10,131
02-07-15 5:49:01,C,10,131
02-07-15 6:49:01,C,13,142
02-07-15 7:49:01,C,17,154
02-07-15 8:49:01,C,20,66
02-07-15 9:49:01,C,38,136
02-07-15 10:49:01,C,61,959
02-07-15 11:49:01,C,65,914
02-07-15 12:49:01,C,48,083
02-07-15 13:49:01,C,31,655
02-07-15 14:49:01,C,30,158
02-07-15 15:49:01,C,24,662
02-07-15 16:49:01,C,25,162
02-07-15 17:49:01,C,22,161
02-07-15 18:49:01,C,21,16
02-07-15 19:49:01,C,18,156
02-07-15 20:49:01,C,17,655
02-07-15 21:49:01,C,17,154
02-07-15 22:49:01,C,16,653
02-07-15 23:49:01,C,16,151
03-07-15 0:49:01,C,15,65
03-07-15 1:49:01,C,15,65
03-07-15 2:49:01,C,15,65
03-07-15 3:49:01,C,14,647
03-07-15 4:49:01,C,14,647
03-07-15 5:49:01,C,15,149
03-07-15 6:49:01,C,17,655
03-07-15 7:49:01,C,18,156
03-07-15 8:49:01,C,20,159
03-07-15 9:49:01,C,31,655
03-07-15 10:49:01,C,68,383
03-07-15 11:49:01,C,36,143
03-07-15 12:49:01,C,38,136
03-07-15 13:49:01,C,22,161
03-07-15 14:49:01,C,19,158
03-07-15 15:49:01,C,19,658
03-07-15 16:49:01,C,18,657
03-07-15 17:49:01,C,19,658
03-07-15 18:49:01,C,17,655
03-07-15 19:49:01,C,16,151
03-07-15 20:49:01,C,15,149
03-07-15 21:49:01,C,13,644
03-07-15 22:49:01,C,12,641
03-07-15 23:49:01,C,11,637
04-07-15 0:49:01,C,11,135
04-07-15 1:49:01,C,10,131
04-07-15 2:49:01,C,9,629
04-07-15 3:49:01,C,9,629
